81;31;7;7;30;3;11;24;5;1;0;0;38;1;35;71;11;12;0;1;2;0;8;4;3;2;3;6;34;4;36;84;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;15;1;0;1;1;0;0;1;10;4;0;1;21;2;5;9;24;3;0;2;5;0;4;7;8;0;0;0;2;0;0;5;2;2;0;0;0;0;2;0;0;0;0;0;2;0;2;7;12;1;0;0;2;0;2;1;3;0;0;0;1;0;0;2;20;3;0;1;0;2;1;1;63;1;0;3;30;1;12;17;4;12;0;8;6;1;8;44;0;1;0;0;0;0;3;5;0;5;0;1;0;0;0;1;0;0;0;3;0;2;0;5;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;5;0;0;0;2;1;0;0;2;2;1;2;14;23;25;2;2;5;2;2;27;0;0;0;0;0;0;0;0;1;6;0;1;0;0;0;1;1;2;0;0;1;1;0;8;40;45;2;8;1;1;1;5;0;1;0;1;0;1;1;5;24;61;0;5;4;2;0;3;6;3;0;12;9;8;79;0
485;62;23;7;87;4;23;3;11;8;6;12;15;11;19;21;61;19;6;5;4;0;9;2;19;13;11;14;12;6;18;46;24;12;1;2;11;2;0;2;3;4;0;2;17;6;2;5;23;7;7;3;3;0;0;2;24;12;5;16;23;13;6;22;81;2;9;1;55;3;18;1;5;1;1;0;15;4;12;2;6;2;4;3;15;0;7;0;5;1;4;0;3;0;10;2;22;11;0;1;14;6;3;3;2;7;1;1;24;33;6;15;16;7;0;1;10;1;1;1;16;8;0;4;38;25;8;16;6;11;2;32;2;1;5;19;0;1;0;3;0;0;1;5;7;3;1;4;1;2;4;5;3;7;4;12;4;0;6;26;2;10;0;3;0;0;0;1;0;0;0;2;1;0;0;5;9;18;4;13;0;1;1;1;8;20;5;43;1;6;10;74;28;14;5;28;9;3;34;34;2;1;1;2;0;1;4;6;9;1;3;1;4;2;17;14;1;0;2;4;0;0;17;36;44;83;2;1;11;4;10;4;3;5;0;1;10;14;19;21;49;68;8;23;8;7;18;21;4;33;16;72;5;25;349;0
106;33;6;19;20;9;10;29;4;3;2;3;7;1;13;23;32;9;0;7;5;0;3;5;12;9;1;3;16;1;33;40;5;1;0;0;0;0;1;0;2;0;0;0;3;0;2;1;20;2;0;0;5;0;1;1;14;1;2;1;15;3;13;7;43;7;0;6;4;1;3;4;7;0;0;1;5;0;2;3;18;1;0;1;0;3;0;1;4;1;0;0;8;1;1;2;17;1;0;0;7;1;0;2;9;1;1;2;2;1;1;3;88;10;0;3;8;0;6;1;65;5;0;4;33;4;17;20;11;17;4;23;8;5;5;46;0;0;0;0;2;1;2;8;3;4;0;3;0;0;1;4;0;2;0;0;0;3;1;20;0;2;1;2;0;0;1;0;1;0;0;0;0;0;0;0;3;1;1;0;0;0;0;1;4;2;0;1;2;1;2;7;25;18;2;13;3;7;5;54;0;0;0;1;1;5;1;5;4;2;0;3;0;0;1;7;0;4;0;4;3;4;0;16;14;15;0;7;3;0;2;8;1;0;0;0;0;1;0;10;58;58;2;11;10;3;2;11;17;24;1;10;24;35;127;0
49;34;1;17;10;3;5;23;1;0;0;0;7;1;25;13;44;13;0;2;5;1;1;2;12;2;0;1;25;2;42;43;8;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;15;3;0;0;3;0;0;3;15;2;0;0;12;0;2;5;5;0;0;1;4;0;2;1;0;0;0;1;1;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;3;1;39;0;2;1;1;0;2;2;0;0;0;0;0;0;3;0;20;0;0;0;2;0;0;0;23;0;0;0;44;0;3;3;2;17;0;12;3;4;0;39;0;0;0;0;0;0;2;12;0;3;0;0;0;0;0;0;0;1;0;1;0;0;3;6;0;1;0;1;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;4;17;80;0;102;1;5;0;48;1;0;0;0;3;2;1;13;0;0;0;1;0;0;0;1;0;0;0;0;0;0;4;8;15;131;0;42;3;1;1;12;1;0;0;1;2;1;3;10;2;35;0;3;1;1;1;1;2;2;0;2;7;4;35;0
120;33;12;17;30;1;42;31;8;0;0;1;18;2;26;20;48;6;8;4;13;1;1;2;14;8;2;4;47;9;79;48;14;11;1;1;15;0;3;0;1;0;0;0;4;0;3;0;23;3;0;0;4;0;1;1;9;4;0;1;82;4;12;16;27;7;8;4;4;0;3;5;3;0;0;0;2;0;0;1;11;0;1;0;1;0;0;0;4;0;0;0;7;1;8;11;26;0;2;1;3;0;1;0;3;0;1;0;4;1;2;2;20;5;0;0;2;0;1;0;12;1;0;0;57;0;12;10;1;6;0;3;1;2;0;8;0;0;0;0;0;0;0;7;0;7;0;2;0;1;1;1;0;2;0;4;2;2;4;12;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;1;2;0;4;2;6;2;7;11;35;6;51;0;10;3;32;1;0;0;2;2;0;4;11;6;4;3;2;0;1;0;1;0;1;0;6;1;1;3;17;13;74;3;18;3;5;1;9;1;3;0;0;3;11;1;20;4;25;3;8;0;1;1;6;1;13;4;14;10;22;113;0
64;65;0;12;23;3;2;30;4;0;0;0;9;0;10;23;14;29;3;6;1;0;1;10;11;3;0;2;11;1;4;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;8;2;0;0;2;0;0;1;10;0;0;0;10;2;1;4;25;8;1;1;4;0;4;1;6;0;0;0;2;0;0;3;1;3;0;3;0;0;0;1;0;0;0;0;3;1;1;0;21;2;0;0;4;1;0;0;3;0;0;0;5;0;1;1;27;3;0;2;1;1;0;0;34;2;0;0;29;0;6;6;3;33;0;38;2;2;5;62;0;0;0;0;0;0;0;4;1;1;0;3;0;1;0;5;0;1;0;2;0;0;2;4;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;2;0;1;0;0;0;6;20;76;1;71;0;4;3;76;0;0;0;0;0;2;1;13;1;2;0;2;1;0;0;4;0;0;0;0;0;2;0;16;27;65;1;32;2;1;6;31;0;1;1;0;0;0;6;23;25;41;1;4;1;4;0;25;8;9;0;12;6;4;73;0
65;11;9;26;44;2;27;85;7;1;1;2;21;7;22;64;13;3;0;1;4;0;10;3;13;0;4;4;24;5;52;63;3;3;0;1;1;0;0;4;1;1;0;0;1;0;0;0;7;1;1;3;0;0;1;2;3;0;0;0;12;5;14;20;14;8;1;4;14;2;5;9;3;1;0;0;3;0;0;6;1;0;0;0;0;0;1;1;2;0;1;0;7;2;3;5;10;3;0;1;1;1;1;1;2;0;0;0;4;1;0;0;17;7;0;1;0;0;0;2;24;2;0;1;27;1;6;11;6;24;0;37;1;5;13;152;0;1;0;0;1;0;2;37;0;1;0;1;0;0;1;6;0;0;0;1;0;2;0;29;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;4;0;0;0;3;0;0;0;2;0;2;0;13;15;30;0;93;0;8;1;121;1;1;0;0;1;2;2;27;2;4;0;1;0;0;0;3;1;0;0;1;0;1;3;37;2;5;0;7;0;0;0;17;0;0;0;0;2;2;0;7;10;29;0;7;0;0;0;14;6;0;1;1;9;2;60;0
64;26;4;13;27;5;10;43;1;1;0;1;6;0;24;55;17;17;0;0;2;0;2;3;1;3;1;1;29;4;50;39;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;2;4;3;0;1;2;0;1;2;5;0;0;0;30;4;8;18;32;1;0;0;19;0;4;4;2;0;0;1;1;0;1;3;12;1;0;0;1;0;0;0;2;0;0;0;1;0;0;1;16;0;0;1;7;0;0;0;0;0;0;0;1;1;0;1;26;3;0;0;3;0;0;0;2;0;2;0;9;1;7;7;4;12;0;10;1;2;1;29;0;1;0;0;0;1;1;8;0;0;0;0;0;0;0;6;0;0;0;1;0;1;3;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;2;0;1;0;1;0;6;15;38;2;5;5;4;1;20;1;0;0;0;0;2;0;7;2;4;0;0;0;0;0;1;0;0;0;1;0;7;2;13;32;36;1;7;4;0;2;5;2;1;0;2;1;0;1;8;57;62;5;7;0;0;0;8;8;5;2;14;7;5;48;0
81;18;9;34;55;1;12;32;3;2;0;0;15;0;55;60;25;27;2;2;2;0;2;2;0;3;1;3;51;0;95;126;0;0;0;1;2;0;3;4;3;0;0;0;3;1;1;9;4;3;0;1;0;0;0;0;1;2;1;0;7;2;7;12;30;1;4;1;19;1;10;6;0;0;0;0;3;0;1;0;0;3;0;0;1;0;0;0;0;0;0;0;3;0;0;0;11;0;0;1;4;0;0;3;3;0;0;0;2;0;1;4;2;1;0;0;0;0;0;1;1;0;0;0;12;0;3;5;2;7;1;38;0;3;0;113;0;0;0;0;0;0;0;55;2;3;0;0;0;0;0;4;0;0;0;0;0;0;1;17;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;4;1;2;0;0;0;0;0;2;0;0;0;1;0;2;0;18;2;18;2;183;1;4;5;129;0;0;0;1;0;1;0;15;1;0;0;9;0;0;0;6;0;0;0;9;0;0;2;14;0;2;0;5;0;2;0;5;0;2;0;0;0;6;0;5;0;9;0;6;0;0;0;4;0;3;0;24;1;3;34;0
111;33;12;39;43;10;19;35;4;1;0;3;19;1;10;32;4;8;0;5;4;1;2;6;6;2;2;11;25;6;23;34;19;3;1;4;2;0;4;0;0;0;0;0;6;0;2;0;12;4;0;1;3;0;1;4;6;2;0;1;23;2;1;13;40;10;2;5;6;0;1;2;0;0;0;0;4;1;5;4;5;1;0;0;2;0;0;0;3;0;0;0;4;0;8;3;27;6;0;1;0;0;2;1;0;0;0;0;4;1;1;0;10;4;0;0;2;0;0;0;13;0;0;0;32;5;3;3;4;45;2;28;0;2;2;27;1;0;0;0;0;0;0;29;0;7;0;4;0;0;0;0;0;0;0;0;0;0;2;15;0;4;0;1;0;0;0;2;0;1;0;1;0;1;0;1;0;6;0;1;0;1;0;1;0;1;1;3;1;2;0;10;14;107;6;148;2;4;6;75;0;0;0;3;3;1;1;27;0;4;1;3;0;0;0;2;0;0;2;0;0;0;1;16;8;145;0;56;3;11;2;37;0;6;0;0;0;7;2;37;0;17;1;10;1;4;0;6;2;10;3;10;6;13;69;0
